Feature,Importance
salary,0.07035384179963591
turnover_risk_index,0.05398847302102861
engagement_index,0.05166267498037519
work_life_balance_score,0.05065825598119568
EmployeeID,0.047199662661225175
overtime_hours,0.04488288309472912
manager_rating,0.04466171477935575
performance_improvement,0.04332332813775987
performance_score,0.04102171638014782
self_rating,0.03979706064902288
post_promotion_performance,0.03859448664278434
orighiredate_key,0.03685971404318598
peer_feedback_score,0.036747950647615414
employee_satisfaction_score,0.03110656433842933
last_promotion_date,0.030127008258852308
store_name,0.02570543379097418
age,0.02500554826079191
city_name,0.02355217283259987
STATUS_YEAR,0.02219402424011684
salary_hike_percent,0.01947371691736496
length_of_service,0.019029042923112163
absenteeism_rate,0.019001472746963042
months_since_last_promotion,0.018736108883005653
working_hours,0.018613055303313173
termreason_desc,0.014353217675859526
job_title,0.013166906916455338
department_name,0.01173088863238705
COMMUNICATION SKILLS,0.011253356315116562
GENERAL APPEARANCE,0.011239167561980188
MANNER OF SPEAKING,0.010468329761486159
PHYSICAL CONDITION,0.009957697631192204
SELF-CONFIDENCE,0.009348916998138274
MENTAL ALERTNESS,0.009328022987651603
ABILITY TO PRESENT IDEAS,0.009140664133856962
Student Performance Rating,0.009068736506900857
tenure_bucket,0.006193883984142232
CLASS,0.006157323803453524
gender_full,0.006012998785066755
terminationdate_key,0.005835576347431823
absenteeism_category,0.003245629483840108
termtype_desc,0.0008819268892812744
BUSINESS_UNIT,0.00032084427217448215
