Feature,Importance
EmployeeID,0.1180498862354563
salary,0.06326043022350171
turnover_risk_index,0.05100559848255132
engagement_index,0.04647163950002447
work_life_balance_score,0.04608831728473091
manager_rating,0.04240240902095177
overtime_hours,0.04144518965650664
performance_improvement,0.03980628515829702
self_rating,0.03853406774291682
performance_score,0.0375116735138785
post_promotion_performance,0.036931327880547205
peer_feedback_score,0.03692350657372722
orighiredate_key,0.032072808687787814
employee_satisfaction_score,0.02936650502411105
last_promotion_date,0.026935256464041053
termreason_desc,0.023282905043648328
age,0.02268819731408957
store_name,0.0225102853003869
city_name,0.021670117048179505
STATUS_YEAR,0.019510058702130458
salary_hike_percent,0.017160747862162283
months_since_last_promotion,0.017143107962623406
absenteeism_rate,0.017112851934776362
working_hours,0.017051352016386787
length_of_service,0.016663916538546722
job_title,0.011408692160941258
GENERAL APPEARANCE,0.010757258039463785
COMMUNICATION SKILLS,0.010562880056586085
department_name,0.010312136338488475
MANNER OF SPEAKING,0.009532185358665294
ABILITY TO PRESENT IDEAS,0.009157632209881148
PHYSICAL CONDITION,0.008714726066490517
MENTAL ALERTNESS,0.00869669883031135
SELF-CONFIDENCE,0.008382178250474747
Student Performance Rating,0.008293724054799561
gender_full,0.005641340674938697
CLASS,0.005405661746735673
tenure_bucket,0.0049067465685588224
terminationdate_key,0.0035787009248059894
absenteeism_category,0.0027669564206438306
BUSINESS_UNIT,0.0002840411262547907
termtype_desc,0.0
