0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
21,75,57,30,23,6,8,13,3,5,4,3,1,3,5,3,2,2,2,0,0
11,171,117,61,37,30,24,14,8,6,6,5,7,11,1,6,5,2,1,2,0
7,117,132,58,39,31,24,14,10,11,3,5,12,9,2,6,2,1,1,1,0
4,85,85,76,55,47,40,20,8,17,11,5,7,6,4,4,6,4,3,2,0
5,46,76,71,75,62,31,34,18,15,12,6,5,10,7,5,1,3,4,2,0
1,36,45,44,67,92,55,31,17,9,7,12,7,14,8,3,6,6,2,1,0
1,21,40,49,53,54,79,51,37,31,14,18,8,6,3,4,3,4,6,4,0
0,17,28,30,36,50,56,78,41,41,20,25,21,14,14,5,6,5,3,3,0
1,19,22,21,32,35,53,64,60,57,25,15,24,15,8,9,11,4,2,6,0
2,15,18,20,19,37,36,56,52,84,53,23,22,22,16,13,5,10,7,3,0
1,15,12,15,16,20,25,33,38,52,82,39,44,22,18,6,7,9,6,6,0
1,18,14,8,14,17,24,22,30,42,73,67,54,52,36,13,18,12,5,4,0
1,8,10,20,10,10,20,25,17,36,29,52,85,66,44,17,14,19,8,4,0
1,6,8,10,6,10,18,19,21,23,19,34,47,79,71,33,19,14,10,9,0
1,9,11,12,13,10,12,22,19,24,14,26,43,70,85,49,44,29,12,12,0
0,11,10,13,14,14,10,13,12,13,13,23,29,41,63,73,65,53,35,22,0
0,7,4,9,16,4,13,17,6,11,13,17,22,27,46,58,98,63,36,32,0
0,6,9,8,7,7,12,14,11,18,9,18,15,24,34,37,57,93,81,44,2
0,5,6,9,7,5,8,14,9,16,10,19,23,21,29,25,45,82,106,83,2
0,3,12,1,3,8,10,14,8,9,7,12,19,21,32,24,32,53,73,132,10
0,3,6,5,1,3,8,2,0,6,6,4,13,11,8,4,14,16,40,82,10
